DOI,  "DOI_Stub"
10.1002/cite.201500133, 10.1002cite.201500133
10.1002/cite.201600051, 10.1002cite.201600051
10.1002/cite.201600183, 10.1002cite.201600183
10.1002/Cjce.20700, 10.1002cjce.20700
10.1002/cjce.22362, 10.1002cjce.22362
10.1002/cjce.22538, 10.1002cjce.22538
10.1002/cjce.22748, 10.1002cjce.22748
10.1002/cjce.22761, 10.1002cjce.22761
10.1002/cjce.5450730515, 10.1002cjce.5450730515
10.1002/cjoc.200591593, 10.1002cjoc.200591593
10.1002/cjoc.201200575, 10.1002cjoc.201200575
10.1002/clen.201600333, 10.1002clen.201600333
10.1002/cphc.201100602, 10.1002cphc.201100602
10.1002/cphc.201200243, 10.1002cphc.201200243
10.1002/cphc.201300215, 10.1002cphc.201300215
10.1002/cphc.201300225, 10.1002cphc.201300225
10.1002/cphc.201402865, 10.1002cphc.201402865
10.1002/cplu.201100021, 10.1002cplu.201100021
10.1002/cplu.201200270, 10.1002cplu.201200270
10.1002/cplu.201402430, 10.1002cplu.201402430
10.1002/cplu.201500104, 10.1002cplu.201500104
10.1002/cplu.201500278, 10.1002cplu.201500278
10.1002/cplu.201600259, 10.1002cplu.201600259
10.1002/cssc.200900290, 10.1002cssc.200900290
10.1002/cssc.201000080, 10.1002cssc.201000080
10.1002/cssc.201100261, 10.1002cssc.201100261
10.1002/cssc.201100378, 10.1002cssc.201100378
10.1002/cssc.201100702, 10.1002cssc.201100702
10.1002/cssc.201100716, 10.1002cssc.201100716
10.1002/cssc.201200907, 10.1002cssc.201200907
10.1002/cssc.201402206, 10.1002cssc.201402206
10.1002/cssc.201402622, 10.1002cssc.201402622
10.1002/cssc.201403230, 10.1002cssc.201403230
10.1002/cssc.201403402, 10.1002cssc.201403402
10.1002/cssc.201500906, 10.1002cssc.201500906
10.1002/cssc.201600082, 10.1002cssc.201600082
10.1002/cssc.201700657, 10.1002cssc.201700657
10.1002/ejic.200600635, 10.1002ejic.200600635
10.1002/ejic.200600698, 10.1002ejic.200600698
10.1002/ejic.200701284, 10.1002ejic.200701284
10.1002/ejic.200801224, 10.1002ejic.200801224
10.1002/ejic.200900144, 10.1002ejic.200900144
10.1002/ejic.201000349, 10.1002ejic.201000349
10.1002/ejic.201000395, 10.1002ejic.201000395
10.1002/ejic.201000415, 10.1002ejic.201000415
10.1002/ejic.201000486, 10.1002ejic.201000486
10.1002/ejic.201000494, 10.1002ejic.201000494
10.1002/ejic.201001156, 10.1002ejic.201001156
10.1002/ejic.201100034, 10.1002ejic.201100034
10.1002/ejic.201100359, 10.1002ejic.201100359
10.1002/ejic.201100790, 10.1002ejic.201100790
10.1002/ejic.201200127, 10.1002ejic.201200127
10.1002/ejic.201200417, 10.1002ejic.201200417
10.1002/ejic.201200851, 10.1002ejic.201200851
10.1002/ejic.201201009, 10.1002ejic.201201009
10.1002/ejic.201201312, 10.1002ejic.201201312
10.1002/ejic.201201508, 10.1002ejic.201201508
10.1002/ejic.201403149, 10.1002ejic.201403149
10.1002/ejic.201500133, 10.1002ejic.201500133
10.1002/ejic.201500374, 10.1002ejic.201500374
10.1002/ejic.201500715, 10.1002ejic.201500715
10.1002/ejic.201700441, 10.1002ejic.201700441
10.1002/ente.201600688, 10.1002ente.201600688
10.1002/ep.10169, 10.1002ep.10169
10.1002/ep.12531, 10.1002ep.12531
10.1002/ep.12591, 10.1002ep.12591
10.1002/Er.1933, 10.1002er.1933
10.1002/hlca.201200466, 10.1002hlca.201200466
10.1002/jctb.4977, 10.1002jctb.4977
10.1002/jctb.5164, 10.1002jctb.5164
10.1002/jctb.5249, 10.1002jctb.5249
10.1002/jssc.201500690, 10.1002jssc.201500690
10.1002/jssc.201700668, 10.1002jssc.201700668
10.1002/macp.200900261, 10.1002macp.200900261
10.1002/macp.201200195, 10.1002macp.201200195
10.1002/marc.201300328, 10.1002marc.201300328
10.1002/marc.201500159, 10.1002marc.201500159
10.1002/pi.4955, 10.1002pi.4955
10.1002/ppsc.200601010, 10.1002ppsc.200601010
10.1002/Sia.1262, 10.1002sia.1262
10.1002/slct.201600093, 10.1002slct.201600093
10.1002/slct.201601095, 10.1002slct.201601095
10.1002/slct.201700643, 10.1002slct.201700643
10.1002/slct.201701072, 10.1002slct.201701072
10.1002/slct.201701452, 10.1002slct.201701452
10.1002/smll.201302910, 10.1002smll.201302910
10.1002/smll.201501692, 10.1002smll.201501692
10.1002/zaac.200700580, 10.1002zaac.200700580
10.1002/zaac.200800158, 10.1002zaac.200800158
10.1002/zaac.201500152, 10.1002zaac.201500152
10.1006/jcis.1995.1018, 10.1006jcis.1995.1018
10.1006/jcis.1997.5099, 10.1006jcis.1997.5099
10.1006/jcis.1998.5733, 10.1006jcis.1998.5733
10.1006/jcis.2000.7399, 10.1006jcis.2000.7399
10.1006/jcis.2001.8052, 10.1006jcis.2001.8052
10.1007/978-1-4613-1375-5_17, 10.10079781461313755_17
10.1007/bf02276189, 10.1007bf02276189
10.1007/bf02495483, 10.1007bf02495483
10.1007/Bf02699112, 10.1007bf02699112
